Introduction to logic,Samsung Hall,1,Someone 1,2,5,R,SE
FPGA Programming Lab,Brown Lab,1,Mr. Yemane,1,5,R,SE
FPGA Programming Lab,Brown Lab,1,Mr. Yemane,1,5,R,SE
FPGA Programming,Samsung Hall,1,Mr. Yemane,1,5,R,SE
FPGA Programming Tutorial,Samsung Hall,1,Mr. Yemane,1,5,R,SE
Software Quality Assurance and Testing,Samsung Hall,1,Wondimagegn,1,5,R,SE
Software Quality Assurance and Testing Lab,Brown Lab,1,Wondimagegn,1,5,R,SE
Advacned IT Security Lab,Brown Lab,1,Mr. Abreham A.,1,5,R,SE
Advacned IT Security Lab,Brown Lab,1,Mr. Abreham A.,1,5,R,SE
Advacned IT Security,Samsung Hall,1,Dr. Sunkari,1,5,R,SE
Advacned IT Security Tutorial,Samsung Hall,1,Mr. Abreham A.,1,5,R,SE
Ethics and Professionalism,NB111,1,Dr. Manjunath ,1,4,R,IT
Advanced IT Security ,Samsung Hall,1,Dr. Sunkari,1,4,R,IT
Social Networks Lab ,NB111,1,Dr. Manjunath ,1,4,R,IT
Social Networks ,NB111,1,Dr. Manjunath ,1,4,R,IT
Social Networks ,NB111,1,Dr. Manjunath ,1,4,R,IT
Introduction to logic  ,NB111,1,Someone 1,2,4,R,IT
Advanced IT Security Lab section 02 ,NB111,1,Mr. Abreham A.,1,4,R,IT
Advanced IT Security Tutorial ,NB111,1,Mr. Abreham A.,1,4,R,IT
Operating Systems ,Samsung Hall,1,Mr. Eyob W.,1,3,R,SE
Advanced Mobile Programming,Samsung Hall,1,Mr. Yoseph A.,1,3,R,SE
Fundamentals of Human Computer Interaction ,Brown Lab,1,Dr. Suresh,1,3,R,SE
Fundamentals of Human Computer Interaction Tutorial  ,Brown Lab,1,Dr. Suresh,1,3,R,SE
Operating Systems Lab ,Brown Lab,1,Mr. Eyob W.,1,3,R,SE
Software Engineering II Lab ,Brown Lab,1,Mr. Natenael,1,3,R,SE
Fundamentals of Human Computer Interaction Lab ,Brown Lab,1,Mr. Minase,1,3,R,SE
Software Engineering II ,Samsung Hall,1,Mr. Natenael,1,3,R,SE
Operating Systems Tutorial ,NB113,1,Mr. Eyob W.,1,3,R,SE
Computer Architecture and Organization ,Samsung Hall,1,Mr. Endrias,1,3,R,SE
Computer Architecture and Organization ,Brown Lab,1,Mr. Endrias,1,3,R,SE
Operating Systems Tutorial ,NB112,1,Mr. Eyob W.,1,3,R,IT
Operating Systems ,Samsung Hall,1,Mr. Eyob W.,1,3,R,IT
Fundamentals of Human Computer Interaction Lab,NB112,1,Mr. Minase,1,3,R,IT
Advanced Mobile Programming ,Samsung Hall,1,Mr. Yoseph A.,1,3,R,IT
Fundamentals of Human Computer Interaction ,Samsung Hall,1,Dr. Suresh,1,3,R,IT
Structured Cabling ,NB112,1,Dr. Suresh,1,3,R,IT
Fundamentals of Human Computer Interaction Tutorial  ,NB112,1,Mr. Minase,1,3,R,IT
Enterprise Network Administration ,NB112,1,Mr. Daniel,1,3,R,IT
Operating Systems Lab ,NB112,1,Mr. Eyob W.,1,3,R,IT
